Description,TotalSalesDollars,ProfitMargin
Casoni Limoncello di Sorento,705.2200000000003,39.167919230878326
Castano Yecla Monastrell Red,5087.039999999975,19.99669749009213
CastelGiocondo Brunello 07,16515.86999999995,86.64072797860479
Castello Banfi Brun Montalcn,4933.4099999999935,27.636259706774712
Castello Di Ama Chianti,1923.4800000000002,83.21843741551771
Castello Di Cacchiano Chiant,519.87,69.23076923076923
Castello Montauto Vernaccia,3604.989999999992,79.96776690087901
Castello di Meleto Chianti,1639.0600000000004,66.07323709931303
Castillo Spiced Rum,977.1800000000003,29.50531120162101
Castle Rock Merlot Cal,5685.8099999999595,7.006037838055736
Cataldi Madonna Malandrino,795.9100000000002,85.21817793469111
Catena Zapata Nicasia Vyd,359.96,48.97766418490943
Catskill Defiant Rye,2905.2599999999975,48.15162842568302
Catskill Fearless Whiskey,2106.5,52.82126750534061
Catskill Most Righteous Brbn,3541.619999999993,67.0376833200625
Catskill Otay,2195.3099999999995,50.189267119450086
Catskill Wicked White Whisky,1279.3400000000001,77.86358591148561
Cave de Tain St Joseph Red,2299.43,86.91284361776613
Cave de Tain Syrah,503.64,31.52251608291637
Cavit Alta Luna Phases Rosso,1038.9600000000005,82.15908215908216
Cavit Pinot Noir Bottega Vi,359.76,32.88859239492995
Cavit Select Red Blend,152.83,55.146240921285084
Cazadores Anejo Tequila,389.87,59.81737502244337
Cecchi Coevo Wood,2989.519999999999,73.89012282908293
Cecchi La Mora Vermentino,3846.2299999999923,16.63915054481908
Cecchi Natio Organic Chianti,806.9900000000005,98.70630367166878
Cecchi Sangiovese,97288.61000000135,5.306828826110328
Cella Lambrusco,71.94,35.446205170975816
Celtic Honey Liqueur,307.86,27.012278308321974
Cenyth Sonoma Red,1699.68,42.75687188176598
Cesari Bardolino Chiaretto,3267.909999999985,78.47033731039093
Cesari Lugana Cento Filari,7884.929999999967,75.66573197225583
Cesari Recioto Valpolicella,999.75,17.419354838709676
Cesari Valpo Classico,344.77000000000004,24.271253299300984
Cesari Valpolicella Clsc Am,49453.51000000008,44.04878440377651
Ch Alie d'Argent Mout-Rth 12,1539.8600000000001,27.116750873456034
Ch Alter Ego 10 Brdx,2249.8199999999997,88.81377176840813
Ch Angelus 12 St Emilion,2393.94,31.9732324118399
Ch Beausejour Pentimento,575.76,38.89120466861192
Ch Behere Courtin Pauillac,1651.72,90.2162594144286
Ch Bernadotte 10 Haut Medoc,209.94,77.3268552919882
Ch Bernadotte Haut-Medoc 11,474.81000000000006,49.074366588740766
Ch Bouscaut Rouge 11 GCG,1014.71,42.92753594623095
Ch Boyd Cantenac Margaux,1539.8600000000001,21.177249879859215
Ch Branaire Ducru 10 Brdx,1007.9200000000001,74.66167949837289
Ch Bruni Brdx Superieur,4986.749999999972,88.070988118514
Ch Calon 12 Segur St-Estphe,2727.6899999999987,24.36383899929974
Ch Canon St Emilion Gr Cr 11,380.97,54.02262645352652
Ch Cantegril Sauternes 11,377.7900000000001,64.3611530215199
Ch Cantemerie 12 Haut-Medoc,368.91,92.4426011764387
Ch Cantenac Brown Margaux 11,2219.63,85.4894734708037
Ch Certan De May de Certan,899.95,47.01927884882494
Ch Chantelune Margaux,4599.079999999998,89.41310001130661
